Date,Open,High,Low,Close,Adj Close,Volume
2019-03-29,181.98,183.15,181.19,182.71,182.71,396500
2019-04-01,184.05,187.75,184.05,187.45,187.45,352900
2019-04-02,187.43,188.36,185.54,187.61,187.61,375800
2019-04-03,188.63,189.8,187.52,188.54,188.54,456300
2019-04-04,188.93,188.93,183.15,184.98,184.98,329500
2019-04-05,185.63,187.06,184.83,185.83,185.83,342000
2019-04-08,185.72,186.62,184.08,186.41,186.41,216200
2019-04-09,185.39,187.37,185.39,186.66,186.66,250500
2019-04-10,186.89,188.96,186.66,187.92,187.92,205900
2019-04-11,187.76,188.76,187.46,188.59,188.59,217800
2019-04-12,189.8,189.81,188.33,189.55,189.55,187100
2019-04-15,189.83,190.5,188.92,189.96,189.96,228700
2019-04-16,190.79,191.0,188.63,189.4,189.4,272500
2019-04-17,190.18,190.32,186.49,187.09,187.09,248100
2019-04-18,186.97,186.97,184.26,186.59,186.59,360100
2019-04-22,185.62,189.68,184.98,189.04,189.04,285500
2019-04-23,189.97,193.44,189.52,192.2,192.2,415100
2019-04-24,193.07,195.25,192.37,192.91,192.91,418800
2019-04-25,192.47,193.26,189.59,191.93,191.93,316300
2019-04-26,191.5,194.79,190.49,194.66,194.66,356600
2019-04-29,194.48,195.24,193.56,193.59,193.59,313800
2019-04-30,193.52,196.27,192.04,195.8,195.8,407100
2019-05-01,196.0,196.44,192.09,192.51,192.51,810600
2019-05-02,186.09,192.27,184.08,191.38,191.38,988900
2019-05-03,193.3,197.05,191.65,192.49,192.49,683000
2019-05-06,188.56,193.27,188.25,192.6,192.6,490000
2019-05-07,190.71,191.25,187.29,188.92,188.92,577300
2019-05-08,188.42,191.78,187.23,190.93,190.93,473900
2019-05-09,189.16,191.67,188.08,190.51,190.51,364300
2019-05-10,189.58,192.6,187.51,191.88,191.88,312300
2019-05-13,188.05,189.11,183.23,183.97,183.97,406000
2019-05-14,185.05,187.55,184.28,186.03,186.03,391300
2019-05-15,184.53,187.86,184.15,186.95,186.95,330700
2019-05-16,187.62,192.48,187.62,191.44,191.44,322500
2019-05-17,189.36,191.62,187.49,187.53,187.53,304600
2019-05-20,185.3,186.36,183.66,184.67,184.67,320300
2019-05-21,185.78,187.3,185.65,185.86,185.86,263000
2019-05-22,185.12,186.62,184.26,185.53,185.53,265200
2019-05-23,183.4,183.58,179.2,180.11,180.11,395100
2019-05-24,181.29,183.18,180.82,182.15,182.15,396800
2019-05-28,182.71,184.9,180.33,180.4,180.4,564200
2019-05-29,179.54,181.14,178.22,179.36,179.36,281300
2019-05-30,179.77,182.2,179.38,180.69,180.69,223300
2019-05-31,179.28,183.1,178.0,179.5,179.5,384900
2019-06-03,179.67,180.69,174.25,175.24,175.24,426600
2019-06-04,176.56,182.53,175.9,182.36,182.36,363500
2019-06-05,184.12,185.88,182.8,185.85,185.85,267900
2019-06-06,186.03,189.81,184.61,189.2,189.2,348500
2019-06-07,200.4,200.4,189.89,193.29,193.29,279400
2019-06-10,194.76,197.18,192.0,195.08,195.08,298200
2019-06-11,196.74,198.0,192.96,194.81,194.81,362800
2019-06-12,194.97,198.38,194.84,197.77,197.77,259600
2019-06-13,198.81,199.78,197.65,198.47,198.47,390400
2019-06-14,198.35,198.78,195.67,197.13,197.13,273800
2019-06-17,197.24,200.99,196.67,198.72,198.72,379700
2019-06-18,200.36,204.21,199.91,201.89,201.89,415300
2019-06-19,202.91,204.41,201.21,204.05,204.05,306200
2019-06-20,206.03,208.56,203.18,203.7,203.7,393800
2019-06-21,203.99,204.29,200.79,200.96,200.96,661500
2019-06-24,201.3,203.68,200.56,201.39,201.39,349300
2019-06-25,200.93,201.29,196.16,196.45,196.45,466800
2019-06-26,197.88,199.88,197.0,198.68,198.68,520600
2019-06-27,199.55,202.36,199.23,200.87,200.87,288200
2019-06-28,201.42,205.0,201.3,204.82,204.82,674400
2019-07-01,208.33,211.63,206.58,208.11,208.11,473900
2019-07-02,208.85,209.39,205.83,206.59,206.59,367200
2019-07-03,207.47,209.8,207.15,209.33,209.33,222000
2019-07-05,207.38,208.9,205.12,208.85,208.85,145888
